date,cash,market_value,total_value,positions
2022-06-16,9822.343061447144,171.32164764404297,9993.664709091187,"YESBANK.NS,UCOBANK.NS"
2022-06-17,9904.619604110718,87.14999866485596,9991.769602775574,YESBANK.NS
2022-06-20,9904.619604110718,86.4500026702881,9991.069606781006,YESBANK.NS
2022-06-21,9904.619604110718,88.2000026702881,9992.819606781006,YESBANK.NS
2022-06-22,9991.769602775574,0.0,9991.769602775574,
2022-06-23,9991.769602775574,0.0,9991.769602775574,
2022-06-24,9991.769602775574,0.0,9991.769602775574,
2022-06-27,9805.347451210022,186.42215156555176,9991.769602775574,"UCOBANK.NS,YESBANK.NS"
2022-06-28,9805.347451210022,185.5530300140381,9990.90048122406,"UCOBANK.NS,YESBANK.NS"
2022-06-29,9805.347451210022,184.50302600860596,9989.850477218628,"UCOBANK.NS,YESBANK.NS"
2022-06-30,9805.347451210022,183.71846389770508,9989.065915107727,"UCOBANK.NS,YESBANK.NS"
2022-07-01,9805.347451210022,184.58758544921875,9989.93503665924,"UCOBANK.NS,YESBANK.NS"
2022-07-04,9805.347451210022,185.45669841766355,9990.804149627686,"UCOBANK.NS,YESBANK.NS"
2022-07-05,9805.347451210022,185.89125919342038,9991.238710403442,"UCOBANK.NS,YESBANK.NS"
2022-07-06,9805.347451210022,185.45669841766355,9990.804149627686,"UCOBANK.NS,YESBANK.NS"
2022-07-07,9805.347451210022,187.29126453399658,9992.638715744019,"UCOBANK.NS,YESBANK.NS"
2022-07-08,9805.347451210022,186.94126319885254,9992.288714408875,"UCOBANK.NS,YESBANK.NS"
2022-07-11,9805.347451210022,190.69494152069092,9996.042392730713,"UCOBANK.NS,YESBANK.NS"
2022-07-12,9805.347451210022,191.66038608551025,9997.007837295532,"UCOBANK.NS,YESBANK.NS"
2022-07-13,9805.347451210022,190.96038341522217,9996.307834625244,"UCOBANK.NS,YESBANK.NS"
2022-07-14,9805.347451210022,190.0067024230957,9995.354153633118,"UCOBANK.NS,YESBANK.NS"
2022-07-15,9805.347451210022,190.44126319885254,9995.788714408875,"UCOBANK.NS,YESBANK.NS"
2022-07-18,9805.347451210022,191.22582530975342,9996.573276519775,"UCOBANK.NS,YESBANK.NS"
2022-07-19,9805.347451210022,192.71038341522217,9998.057834625244,"UCOBANK.NS,YESBANK.NS"
2022-07-20,9805.347451210022,193.41038608551025,9998.757837295532,"UCOBANK.NS,YESBANK.NS"
2022-07-21,9805.347451210022,200.4831886291504,10005.830639839172,"UCOBANK.NS,YESBANK.NS"
2022-07-22,9805.347451210022,202.41406440734863,10007.76151561737,"UCOBANK.NS,YESBANK.NS"
2022-07-25,9805.347451210022,197.96038341522217,10003.307834625244,"UCOBANK.NS,YESBANK.NS"
2022-07-26,9805.347451210022,193.24126052856445,9998.588711738586,"UCOBANK.NS,YESBANK.NS"
2022-07-27,9805.347451210022,200.6758213043213,10006.023272514343,"UCOBANK.NS,YESBANK.NS"
2022-07-28,9805.347451210022,200.0603847503662,10005.407835960388,"UCOBANK.NS,YESBANK.NS"
2022-07-29,9820.297451019287,187.910382270813,10008.2078332901,"UCOBANK.NS,YESBANK.NS"
2022-08-01,9820.297451019287,191.88318729400635,10012.180638313293,"UCOBANK.NS,YESBANK.NS"
2022-08-02,9820.297451019287,206.75965404510498,10027.057105064392,"UCOBANK.NS,YESBANK.NS"
2022-08-03,9820.297451019287,203.42878246307373,10023.72623348236,"UCOBANK.NS,YESBANK.NS"
